English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
chain,set of links,noun,chain,زنجیر,The dog was tied up with a chain.,سگ با یک زنجیره گره خورده بود.,,
chain,series,noun,chain,زنجیر,The book analyzes the chain of events that led to his fall from power.,این کتاب زنجیره ای از رویدادها را تجزیه و تحلیل می کند که منجر به سقوط او از قدرت شد.,,
chain,"group of stores, hotels or restaurants",noun,chain,زنجیر,"It's an independent store, not part of a chain.","این یک فروشگاه مستقل است، نه بخشی از یک زنجیره ای.",,
chain,chemistry,noun,chain,زنجیر,A saturated compound has a chain of carbon atoms linked together by single bonds.,یک ترکیب اشباع دارای یک زنجیره ای از اتم های کربن که با تک اوراق بهادار مرتبط است.,,
chain,measurement,noun,chain,زنجیر,The plot of land measured five chains by two.,قطعه زمین پنج زنجیره ای را به دو عدد اندازه گیری کرد.,,
chain,to link,transitive verb,chain,زنجیر,The most dangerous prisoners were chained to the wall.,خطرناک ترین زندانیان به دیوار زنجیر شده اند.,,
chain,to take away freedom,transitive verb,chain,زنجیر,I used to spend my time chained to a desk.,من وقت خود را صرف گذر به یک میز می کردم.,,
expose,to bare,transitive verb,expose,در معرض گذاشتن,"As I cut the peach, the skin burst, exposing the flesh of the fruit.","همانطور که هلو را بریده ام، پوست را پشت سر گذاشتم، گوشت میوه را در آغوش می گیرد.",,
expose,to make vulnerable,transitive verb,expose,در معرض گذاشتن,These scanners expose us to low levels of X-rays.,این اسکنرها ما را به سطوح پایین اشعه ایکس نشان می دهند.,,
expose,"to make vulnerable, pronominal verb",transitive verb,expose,در معرض گذاشتن,"To avoid exposing yourself to computer threats, never click on links to files from strangers.","برای جلوگیری از افشای خود به تهدیدات کامپیوتری، هرگز بر روی لینک ها به فایل ها از غریبه ها کلیک نکنید.",,
expose,to disclose,transitive verb,expose,در معرض گذاشتن,Details of some of the company's corrupt practices have been exposed.,جزئیات برخی از شیوه های فاسد شرکت در معرض قرار گرفته است.,,
expose,"to disclose, criminal",transitive verb,expose,در معرض گذاشتن,Exposing the impostor will be harder than we thought.,افشای نفوذگر سخت تر از آنچه ما فکر می کنیم سخت تر خواهد بود.,,
expose,photography,transitive verb,expose,در معرض گذاشتن,I need to learn how to expose low light shots properly.,من باید یاد بگیرم که چگونه به درستی عکس های کم نور را افشا کنم.,,
expose,to show,transitive verb,expose,در معرض گذاشتن,The art professor is taking the students to the museum to expose them to contemporary art.,استاد هنر دانش آموزان را به موزه می برد تا آنها را به هنر معاصر افشا کنند.,,
expose,"to show one's genitals, intransitive verb",transitive verb,expose,در معرض گذاشتن,The man who was exposing himself in the park has been arrested.,مردی که خود را در پارک قرار داده است دستگیر شده است.,,
lock,"locking mechanism, with a key",noun,lock,قفل کردن,Do you have window locks at home?,آیا قفل پنجره در خانه دارید؟,,
lock,locking mechanism,noun,lock,قفل کردن,The briefcase has a combination lock.,کیف پول دارای قفل ترکیبی است.,,
lock,padlock,noun,lock,قفل کردن,For the time being we could just put a lock on the garden gate.,در حال حاضر ما فقط می توانیم قفل بر روی دروازه باغ قرار دهیم.,,
lock,bolt,noun,lock,قفل کردن,We put a stronger lock on our door after the burglary.,"پس از سرقت، ما یک قفل قوی تر در درب ما گذاشتیم.",,
lock,in a canal,noun,lock,قفل کردن,There are several locks in a very short section of the canal.,چندین قفل در بخش بسیار کوتاهی از کانال وجود دارد.,,
lock,hair,noun,lock,قفل کردن,He kept a lock of her hair in a locket.,او قفل موی خود را در یک قفسه نگه داشت.,,
lock,"sports, in judo, wrestling",noun,lock,قفل کردن,He got me in a lock and punched me twice on the head.,او من را در یک قفل گرفت و دو بار در سر من را تکان داد.,,
lock,to fasten,transitive verb,lock,قفل کردن,I lock the door every night.,من هر شب درب را قفل می کنم,,
lock,to stop moving or working,intransitive verb,lock,قفل کردن,The door locks automatically.,درب به طور خودکار قفل می شود,,
convince,to persuade,transitive verb,convince,متقاعد کردن,"I'm sorry, but that argument just does not convince me.","متاسفم، اما این استدلال فقط من را متقاعد نمی کند.",,
channel,waterway,noun,channel,کانال,Some people have have swum across the English Channel.,بعضی از مردم در سراسر کانال انگلیسی به سر می برند.,,
channel,television,noun,channel,کانال,Channel 22 always broadcasts cultural shows.,کانال 22 همیشه نمایش های فرهنگی را پخش می کند.,,
channel,mode,noun,channel,کانال,You can contact us through any communication channel.,شما می توانید از طریق هر کانال ارتباطی با ما تماس بگیرید.,,
channel,to direct,transitive verb,channel,کانال,Resources should be channeled to the poorest communities.,منابع باید به فقیرترین جوامع هدایت شوند.,,
carefully,with care,adverb,carefully,با دقت,Open the soda carefully so it won't spill all over the place.,سودا را با دقت باز کنید تا همه چیز را از دست ندهید.,,
tear,biology,noun,tear,اشک,A tear fell from her eye as she said goodbye.,همانطور که او گفت خداحافظی از چشم او افتاد.,,
tear,split,noun,tear,اشک,My shirt got caught in the car door and now it has a big tear in it.,پیراهن من در درب خودرو گرفتار شد و در حال حاضر آن را در آن پارس بزرگ است.,,
tear,medicine,noun,tear,اشک,The soccer player suffered a muscle tear when he kicked the ball.,"بازیکن فوتبال هنگامی که توپ را لگد می زد، بازیکن فوتبال رنج می برد.",,
tear,to pull apart by force,transitive verb,tear,اشک,Tear the paper in half before folding it.,کاغذ را به نصف قبل از اینکه آن را تاشو بخورید را ببندید.,,
tear,to divide,transitive verb,tear,اشک,Their differing politics is what tore the couple apart.,سیاست های متفاوتی آنها چیزی است که این زن را از هم جدا می کند.,,
tear,"to remove by force; with ""off""",transitive verb,tear,اشک,Ben pulled the curtain so hard that he tore it off the wall.,بن پرده را به سختی کشیده بود که او را از دیوار خارج کرد.,,
tear,to rush,intransitive verb,tear,اشک,Angelica tore down the highway in her new Ferrari.,Angelica بزرگراه را در فراری جدید خود فرو ریخت.,,
estate,land,noun,estate,املاک,The family owns a large estate on the outskirts of town.,خانواده دارای املاک بزرگ در حومه شهر است.,,
estate,legal,noun,estate,املاک,I was the executor of my grandfather's estate.,من معاون املاک پدربزرگم بودم.,,
estate,politics,noun,estate,املاک,The clergy was a very powerful estate in medieval Europe.,روحانیت یک املاک بسیار قدرتمند در اروپا قرون وسطایی بود.,,
estate,housing development,noun,estate,املاک,The estate consists of 200 houses that will sell at an affordable price.,املاک شامل 200 خانه است که با قیمت مقرون به صرفه فروش می شود.,,
initial,first,adjective,initial,اولیه,"The initial plan was to produce one book, but it turned into a series.","طرح اولیه برای تولید یک کتاب بود، اما به یک سری تبدیل شد.",,
initial,of a name,noun,initial,اولیه,I had the watch engraved with his initials.,من تماشا کردم که با حروف اولش حک شده بود.,,
initial,to write one's initials on,transitive verb,initial,اولیه,I initialed the contract to show that I'd read it.,من قرارداد را شروع کردم تا نشان دهم که می خواهم آن را بخوانم.,,
purchase,to buy,transitive verb,purchase,خرید,Are you ready to purchase your first car?,آیا شما آماده خرید اولین ماشین خود هستید؟,,
purchase,object bought,noun,purchase,خرید,This car was a poor purchase. It breaks down all the time.,این خودرو یک خرید ضعیف بود. این همه زمان را از بین می برد.,,
purchase,act of purchasing,noun,purchase,خرید,We are going to adjust the public sector purchase program this year.,ما قصد داریم برنامه خرید بخش عمومی را در سال جاری تنظیم کنیم.,,
purchase,grip,noun,purchase,خرید,"Make sure you have a good purchase on the rope, then pull the bucket up out of the well.","اطمینان حاصل کنید که خرید خوبی در طناب دارید، سپس سطل را بیرون بکشید.",,
guide,one that leads,noun,guide,راهنما,The guide will be able to answer all your questions about the history of this town.,این راهنمای قادر خواهد بود به تمام سوالات خود در مورد تاریخ این شهر پاسخ دهد.,,
guide,written work,noun,guide,راهنما,"For information on hotels, look at the latest guide.","برای اطلاعات در مورد هتل ها، به آخرین راهنمای نگاه کنید.",,
guide,adviser,noun,guide,راهنما,She went to her spiritual guide to ask for personal advice.,او به راهنمایی معنوی خود برای درخواست مشاوره شخصی رفت.,,
guide,indication,noun,guide,راهنما,The green lights along the path will serve you as a guide to find the exit.,چراغ های سبز در امتداد مسیر به شما به عنوان یک راهنمای برای پیدا کردن خروج به شما خدمت می کنند.,,
guide,girl scout,noun,guide,راهنما,Anna wants to be a guide like her older sister.,آنا می خواهد یک راهنمای مانند خواهر بزرگترش باشد.,,
guide,to lead,transitive verb,guide,راهنما,Someone needs to guide us in the process of changing our tax status.,کسی باید ما را در روند تغییر وضعیت مالیاتی ما هدایت کند.,,
guide,to steer,transitive verb,guide,راهنما,It might be a good idea to use a street map to guide us.,این ممکن است یک ایده خوب برای استفاده از یک نقشه خیابانی برای هدایت ما باشد.,,
guide,to advise,transitive verb,guide,راهنما,We should let ourselves be guided by common sense.,ما باید خودمان را با حس مشترک هدایت کنیم.,,
forth,onward in time,adverb,forth,جلو,"From this day forth, you shall be known as Sir Collin.","از این روز، شما باید به عنوان سر کالین شناخته شود.",,
forth,"onward in time, continuing",adverb,forth,جلو,"He ate his salmon, and his kale, and so forth, but he refused to take his medicine.","او سالمون خود را خورد، و کلم، و غیره، اما او حاضر به مصرف دارو خود بود.",,
forth,starting in the past,adverb,forth,جلو,"And from that day forth, I was forever changed in the best possible way.","و از آن روز اول، من برای همیشه به بهترین وجه تغییر کردم.",,
forth,onward in space,adverb,forth,جلو,He went forth to the rendezvous.,او به پیشاپیش رفت.,,
bond,link,noun,bond,"رابطه، رشته",I felt a strong spiritual bond with him.,من یک پیوند معنوی قوی با او احساس کردم.,,
bond,shackle,noun,bond,"رابطه، رشته",She broke her bonds when she got divorced.,"او زمانی که طلاق گرفت، اوراق قرضه خود را شکست.",,
bond,chemisty,noun,bond,"رابطه، رشته",A chemical bond is an atraction between atoms.,پیوند شیمیایی یک ترمینال بین اتم ها است.,,
bond,finance,noun,bond,"رابطه، رشته",Commercial banks are being pressured into buying government bonds.,بانک های تجاری به خرید اوراق قرضه دولتی تحت فشار قرار می گیرند.,,
bond,legal,noun,bond,"رابطه، رشته","They had to pay a $5,000 bond to get him out of jail.",آنها مجبور بودند مبلغی 5000 دلار پرداخت کنند تا او را از زندان بیرون بیاورند.,,
bond,to become friends,intransitive verb,bond,"رابطه، رشته",They bonded the moment they met.,"آنها لحظه ای را که ملاقات کردند، پیوند دادند.",,
bond,to form a chemical compound with,intransitive verb,bond,"رابطه، رشته",The two atoms bonded to form a molecule.,دو اتم به تشکیل یک مولکول متصل شده اند.,,
bond,to paste,transitive verb,bond,"رابطه، رشته",We bonded the pieces with a very strong glue.,ما قطعات را با چسب بسیار قوی پیوند دادیم.,,
birthday,date of birth,noun,birthday,روز تولد,My mother's birthday is tomorrow.,تولد مادر من فردا است.,,
birthday,date something began,noun,birthday,روز تولد,This month we celebrate our nation's birthday.,این ماه ما تولد ما را جشن می گیریم.,,
pray,to say your prayers,intransitive verb,pray,نماز خواندن,"As a child, I used to pray every night before I went to bed.","به عنوان یک کودک، هر شب قبل از رفتن به رختخواب دعا کردم.",,
pray,to hope strongly,intransitive verb,pray,نماز خواندن,"After one month of rain, we prayed for the sun.","پس از یک ماه باران، ما برای خورشید دعا کردیم.",,
pray,to hope strongly for,transitive verb,pray,نماز خواندن,I pray that she doesn't tell anyone my secret.,من دعا می کنم که او راز من را نمی گوید.,,
pray,to beg,transitive verb,pray,نماز خواندن,Pray show me the letter.,دعا نامه را به من نشان بده,,
improvement,act of improving or being improved,noun,improvement,بهبود,We've seen an improvement in Pepito's reading ability since we began offering him tutoring.,"ما شاهد بهبود توانایی خواندن Pepito بوده ایم، زیرا ما شروع به ارائه آموزش او کردیم.",,
improvement,"act of improving or being improved, health",noun,improvement,بهبود,The improvement will be more noticeable when the effects of the chemotherapy subside.,بهبود قابل توجه خواهد بود زمانی که اثرات شیمی درمانی کاهش می یابد.,,
improvement,rise,noun,improvement,بهبود,This report marks the third straight month with improvements in the employment figures.,این گزارش سومین ماه را با پیشرفت در ارقام استخدامی نشان می دهد.,,
improvements,property renovation,plural noun,improvements,بهبود,The improvements to this property will take us about six weeks to complete.,پیشرفت های این اموال حدود شش هفته طول خواهد کشید تا تکمیل شود.,,
ancient,history,adjective,ancient,کهن,There are some ruins from Ancient Rome in this town.,برخی از خرابه های روم باستان در این شهر وجود دارد.,,
ancient,very old,adjective,ancient,کهن,Oh my God! Your TV is ancient!,اوه خدای من! تلویزیون شما باستانی است!,,
ancient,person,adjective,ancient,کهن,She's still alive? She must be ancient by now.,او هنوز زنده است؟ او اکنون باید باستان باشد.,,
ancients,people from ancient times,plural noun,ancients,طالع بینی,It is essential to understand the philosophy and history of the ancients.,ضروری است که فلسفه و تاریخ قدیم را درک کنیم.,,
ought,"indicating advisability, conditional tense",auxiliary verb,ought,باید,You ought to see a doctor about that knee.,شما باید یک دکتر را در مورد آن زانو ببینید.,,
ought,"indicating probability, conditional tense",auxiliary verb,ought,باید,Those vegetables ought to be done by now.,این سبزیجات باید تا کنون انجام شود.,,
ought,"indicating obligation, conditional tense",auxiliary verb,ought,باید,You ought not to have taken the book without asking.,شما نباید این کتاب را بدون درخواست بپذیرید.,,
escape,breakout,noun,escape,در رفتن,The inmate's second escape was nearly identical to his first.,فرار دوم زندانی تقریبا مشابه با او بود.,,
escape,distraction,noun,escape,در رفتن,Julia's favorite escape is running on the beach.,فرار مورد علاقه جولیا در ساحل اجرا می شود.,,
escape,leak,noun,escape,در رفتن,There is a slow escape of water through the valve.,فرار آهسته از آب از طریق شیر وجود دارد.,,
escape,means of escape,noun,escape,در رفتن,The mouse found an escape under the fence.,ماوس فرار را تحت حصار پیدا کرد.,,
escape,to get away from,transitive verb,escape,در رفتن,He escaped the prisoner-of-war camp by digging a tunnel.,او توسط اردوگاه زندانیان از طریق حفاری یک تونل فرار کرد.,,
escape,to avoid,transitive verb,escape,در رفتن,They took shelter to escape the hurricane's fury.,آنها پناهگاه را برای فرار از خشم طوفان بردند.,,
escape,to forget,transitive verb,escape,در رفتن,I'm sorry. Your name escapes me. What is your name again?,متاسفم. نام شما از من فرار می کند گفتی اسمت چی بود؟,,
escape,not to notice,transitive verb,escape,در رفتن,"I think you have the general idea, but it seems the details have escaped you.","من فکر می کنم شما ایده کلی دارید، اما به نظر می رسد جزئیات شما را فرار کرده است.",,
escape,to let slip out,transitive verb,escape,در رفتن,A shout escaped him when a box dropped on his head.,"هنگامی که یک جعبه بر روی سرش افتاد، فریاد زد.",,
escape,to flee,intransitive verb,escape,در رفتن,The prisoners escaped in a laundry basket.,زندانیان در یک سبد لباسشویی فرار کردند.,,
escape,to leak,intransitive verb,escape,در رفتن,The pipe was damaged and now sewage is escaping.,لوله آسیب دیده بود و در حال حاضر فاضلاب فرار می کند.,,
escape,to run away from danger or harm,intransitive verb,escape,در رفتن,She narrowly managed to escape from the cult.,او به شدت موفق به فرار از فرقه شد.,,
escape,to avoid reality,intransitive verb,escape,در رفتن,She tried to escape from reality by watching television.,او سعی کرد از طریق تماشای تلویزیون از واقعیت فرار کند.,,
trail,path,noun,trail,دنباله,I love to go running at sunrise on the trail in the woods.,من دوست دارم در حال اجرا در طلوع خورشید در مسیر پیاده روی در جنگل.,,
trail,"path, for skiing",noun,trail,دنباله,"Before we went skiing every morning, we studied a map with the trails.","قبل از اینکه هر روز صبح به اسکی رفتیم، نقشه ای را با مسیرهای پیاده روی مطالعه کردیم.",,
trail,trace,noun,trail,دنباله,The dogs followed the trail of the fox.,سگ ها دنباله روباه را دنبال کردند.,,
trail,wake,noun,trail,دنباله,The hurricane left a trail of destruction.,طوفان یک دنباله ای از تخریب را ترک کرد.,,
trail,to drag,transitive verb,trail,دنباله,Fran trailed her blanket around everywhere when she was a baby.,"فرانک پتو را در اطراف هر جا که کودک بود، ترویج کرد.",,
trail,to follow,transitive verb,trail,دنباله,The hunters trailed the deer.,شکارچیان گوزن را ترک کردند.,,
trail,to lag behind,transitive verb,trail,دنباله,The local team trails its rival in the national rankings.,تیم محلی رقیب خود را در رتبه بندی ملی دنبال می کند.,,
trail,to dirty,transitive verb,trail,دنباله,Take your boots off; you're trailing mud all over the carpet!,چکمه های خود را بردارید شما گلدان را در سراسر فرش قرار می دهید!,,
trail,to dangle,intransitive verb,trail,دنباله,Vines trail from balconies in New Orleans in the summer.,Vines Trail از بالکن در نیواورلئان در تابستان است.,,
trail,to walk wearily,intransitive verb,trail,دنباله,We trailed around my cousin's new plot of land all morning.,ما تمام صبحانه در اطراف طرح جدید عموزاده پسر عموی خود قرار گرفتیم.,,
brown,color,noun,brown,رنگ قهوه ای,I like brown.,قهوه ای دوست دارم,,
brown,"color, color",noun,brown,رنگ قهوه ای,Brown is my favorite color.,براون رنگ مورد علاقه من است.,,
brown,"color, skin, hair",adjective,brown,رنگ قهوه ای,"He has brown hair, but his sister is blonde.","او موهای قهوه ای دارد، اما خواهرش بلوند است.",,
brown,"color, skin",adjective,brown,رنگ قهوه ای,My skin is brown because I spent all summer at the beach.,پوست من قهوه ای است زیرا تمام تابستان را در ساحل صرف کردم.,,
brown,culinary,transitive verb,brown,رنگ قهوه ای,They browned the turkey in the oven.,آنها ترکیه را در کوره بریزند.,,
fashion,vogue,noun,fashion,روش,Floral print is the fashion for this spring.,چاپ گل برای این بهار مد است.,,
fashion,industry,noun,fashion,روش,My wife is a famous designer in the world of fashion.,همسر من یک طراح مشهور در جهان مد است.,,
fashion,manner,noun,fashion,روش,They are all linked in some fashion.,همه آنها به نوعی مرتبط هستند.,,
fashion,to shape,transitive verb,fashion,روش,God fashioned man from the dust of the earth.,خداوند مرد را از گرد و غبار زمین مد کرد.,,
length,measurement,noun,length,طول,What length is the swimming pool?,استخر شنا چیست؟,,
length,time,noun,length,طول,Fees depend on the length of the course.,هزینه ها به طول دوره بستگی دارد.,,
length,extent,noun,length,طول,The text must be no more than 500 words in length.,متن نباید بیش از 500 کلمه طول داشته باشد.,,
length,piece,noun,length,طول,She cut a length of string.,او طول رشته را قطع کرد.,,
length,"sports, in horse racing",noun,length,طول,Our horse won by a length.,اسب ما با طول به دست آورد.,,
length,"sports, in rowing",noun,length,طول,They were half a length ahead.,آنها نیمی از طول پیش رو داشتند.,,
length,"sports, of swimming pool",noun,length,طول,I do 20 lengths every day.,من هر روز 20 طول دارم,,
sheet,bedding,noun,sheet,ورق,"I recommend that you use satin sheets in the winter, but not during the summer.","من توصیه می کنم که از ورق های ساتن در زمستان استفاده کنید، اما نه در طول تابستان.",,
sheet,office supplies,noun,sheet,ورق,Could you give me a pen and a sheet of paper so I can take notes?,آیا می توانید یک قلم و ورق کاغذ به من بدهید تا بتوانم یادداشت کنم؟,,
sheet,pane,noun,sheet,ورق,The sculptor made a work of art starting with several metal sheets.,مجسمه ساز کار هنر را با چندین ورق فلزی آغاز کرد.,,
sheet,"weather, of ice",noun,sheet,ورق,"Be careful, there is a sheet of ice covering the doorstep.","مراقب باشید، یک ورق یخ پوشش آستانه وجود دارد.",,
sheet,"weather, of rain or flame",noun,sheet,ورق,A sheet of water poured off the roof in the storm.,یک ورق آب سقف را در طوفان ریخت.,,
sheet,nautical,noun,sheet,ورق,I trimmed the sheet and headed leeward.,من ورق را بریده کردم و به سمت چپ رفتم.,,
sheet,newspaper,noun,sheet,ورق,"Do you buy the Enquirer? - Yes, but the only thing that sheet is good for is wrapping fish.","آیا شما Enquirer را خریداری می کنید؟ - بله، اما تنها چیزی که ورق خوب است، ماهی را بسته بندی می کند.",,
sheet,"to cover with sheets; often used with ""over""",transitive verb,sheet,ورق,The furniture in the old mansion was sheeted over and there were thick cobwebs everywhere hanging from the ceiling.,مبلمان در عمارت قدیمی به سر می برد و در همه جا از سقف ها ضخیم بود.,,
sheet,to rain hard,intransitive verb,sheet,ورق,Alice stared gloomily out of the window at the rain sheeting down.,آلیس به صورت غم انگیز از پنجره خارج شد.,,
funding,finance,noun,funding,منابع مالی,We secured funding for the school from an international non-profit organization.,ما از یک سازمان غیر انتفاعی بین المللی تأمین مالی کردیم.,,
funding,funds,noun,funding,منابع مالی,"I am looking for $50,000,000 in funding to make my movie.","من به دنبال 50،000،000 دلار در بودجه برای ساخت فیلم من هستم.",,
meanwhile,in the meantime,adverb,meanwhile,در همین حال,"Alicia said she's on her way. Meanwhile, we can wrap her birthday present.","آلیشیا گفت که او در راه اوست. در همین حال، ما می توانیم روز تولد خود را قرار دهیم.",,
meanwhile,at the same time,adverb,meanwhile,در همین حال,"It's snowing in Siberia. Meanwhile, in Brazil it's really hot.","این برف در سیبری است. در همین حال، در برزیل واقعا گرم است.",,
fault,responsibility,noun,fault,عیب,I'm sorry; it's my fault your white T-shirts are pink now.,متاسفم؛ این تقصیر من است تی شرت سفید شما در حال حاضر صورتی است.,,
fault,flaw in someone,noun,fault,عیب,He thinks his new girlfriend has no faults.,او فکر می کند دوست دختر جدید خود هیچ گسل ندارد.,,
fault,flaw in something,noun,fault,عیب,There is a fault in the circuit board. It needs to be replaced.,خطا در مدار مدار وجود دارد. باید جایگزین شود,,
fault,"sports, tennis",noun,fault,عیب,He had one fault against him and couldn't allow another.,او یک گسل علیه او داشت و نمیتوانست اجازه دیگری بدهد.,,
fault,geology,noun,fault,عیب,Energy release associated with movement on active faults is the cause of most earthquakes.,"انتشار انرژی مرتبط با حرکت در گسل های فعال، علت بیشتر زلزله ها است.",,
fault,to censure,transitive verb,fault,عیب,I cannot fault that rendition of Beethoven's Fifth Symphony. It was perfect.,من نمی توانم این تقصیر سمفونی پنجم بتهوون را نقض کنم. عالی بود.,,
barely,hardly,adverb,barely,به سختی,I can barely see anything. Where are my glasses?,من به سختی می توانم چیزی را ببینم عینک من کجاست؟,,
barely,scantily,adverb,barely,به سختی,My bedroom is barely furnished because I am a minimalist.,"اتاق خواب من به سختی مبله می شود، زیرا من مینیمالیست هستم.",,
eliminate,to remove,transitive verb,eliminate,از بین بردن,"In his attempt to eliminate the possibility of food poisoning, Kirk cooked his steak beyond well done.","کرک در تلاش برای از بین بردن احتمال مسمومیت غذایی، استیک خود را به خوبی انجام داد.",,
eliminate,to rule out,transitive verb,eliminate,از بین بردن,The police eliminated Cheryl as a suspect when her alibi checked out.,پلیس شریل را به عنوان یک مظنون از بین برد.,,
eliminate,to expel,transitive verb,eliminate,از بین بردن,Our liver helps keep us healthy by eliminating toxins from the body.,کبد ما کمک می کند تا ما را سالم نگه دارد با از بین بردن سموم از بدن.,,
eliminate,to kill,transitive verb,eliminate,از بین بردن,The crime boss gave orders to eliminate the competition.,رئیس جرم دستور داد تا رقابت را از بین ببرد.,,
motion,act of moving,noun,motion,حرکت - جنبش,The universe is constantly in motion.,جهان به طور مداوم در حال حرکت است.,,
motion,"operation, mechanism or project",noun,motion,حرکت - جنبش,In order to set the mechanism in motion you just have to press the green button.,"به منظور تنظیم مکانیزم در حرکت، فقط باید دکمه سبز را فشار دهید.",,
motion,gesture,noun,motion,حرکت - جنبش,She made a motion telling us we were running out of time.,او یک حرکت را به ما گفت که ما از زمان خارج شد.,,
motion,proposal,noun,motion,حرکت - جنبش,The councilman proposed a motion to increase the budget for public works.,شورای شورا یک حرکت را برای افزایش بودجه برای کارهای عمومی پیشنهاد کرد.,,
motion,legal,noun,motion,حرکت - جنبش,The defendant filed a motion for sentence reduction.,متهم یک حرکت برای کاهش حکم را ثبت کرد.,,
motion,medicine,noun,motion,حرکت - جنبش,The patient was prescribed a laxative to assist with his motions.,بیمار یک ملین را برای کمک به حرکات خود تجویز کرد.,,
motion,to gesture,intransitive verb,motion,حرکت - جنبش,The doctor motioned for me to come into his office.,دکتر برای من حرکت کرد تا به دفترش برود.,,
essential,vital,adjective,essential,ضروری,The right tools are essential to do this job.,ابزار مناسب برای انجام این کار ضروری است.,,
essential,basic,adjective,essential,ضروری,That is the essential characteristic that differentiates him from other players.,این مشخصه ضروری است که او را از بازیکنان دیگر متمایز می کند.,,
essential,necessary thing,noun,essential,ضروری,Fluent Spanish is an essential in this position.,اسپانیایی مسلط در این موقعیت ضروری است.,,
essentials,basic features,plural noun,essentials,ملزومات,He taught me the essentials of computer programming.,او به من ملزومات برنامه نویسی کامپیوتر را به من آموخت.,,
apart,separated,adverb,apart,جدا از هم,We've only been apart for eight hours and I already miss her.,ما فقط از هشت ساعت جدا شده ایم و من قبلا او را از دست دادم.,,
apart,in pieces,adverb,apart,جدا از هم,The hurricane blew the house apart.,طوفان خانه را از هم جدا کرد.,,
apart,not taking into consideration,adverb,apart,جدا از هم,"All joking apart, they did actually get married five years later.","همه شوخی می کنند، آنها پنج سال بعد ازدواج کردند.",,
apart,"except for; used with ""from""",adverb,apart,جدا از هم,"My grandmother said that everything, apart from family, eventually ends.","مادربزرگم گفت که همه چیز، به غیر از خانواده، در نهایت به پایان می رسد.",,
combination,mixture,noun,combination,ترکیبی,The church offers an interesting combination of Gothic and Romanesque architecture.,کلیسا ترکیبی جالب از معماری گوتیک و رومیک را ارائه می دهد.,,
combination,sequence of numbers,noun,combination,ترکیبی,"The ring is in the safe, but I can't remember the combination.","حلقه در امن است، اما من نمی توانم ترکیبی را به یاد داشته باشم.",,
combination,mathematics,noun,combination,ترکیبی,Find all the possible combinations of four-digit numbers.,تمام ترکیبات احتمالی اعداد چهار رقمی را پیدا کنید.,,
combinations,clothing,plural noun,combinations,ترکیب,The queen always wore combinations and a corset.,ملکه همواره ترکیبی ها و کرست را پوشانده است.,,
limited,restricted,adjective,limited,محدود,There are a limited number of tickets for the concert.,تعداد محدودی از بلیط ها برای کنسرت وجود دارد.,,
limited,commerce,adjective,limited,محدود,What are the tax obligations of a limited company?,تعهدات مالیاتی یک شرکت محدود چیست؟,,
limited,of a train,adjective,limited,محدود,We took the Great Western Limited train to Sacramento.,ما قطار محدود غربی غربی را به ساکرامنتو بردیم.,,
description,characterization,noun,description,شرح,Police released a description of the suspect to the media.,پلیس شرح مشکوک به رسانه ها را منتشر کرد.,,
description,type,noun,description,شرح,They sell bicycles of every description at that shop.,آنها دوچرخه های هر توضیحی را در آن مغازه می فروشند.,,
mix,combination,noun,mix,مخلوط کردن,My dog is a mix of Chihuahua and Pomeranian.,سگ من ترکیبی از Chihuahua و Pomeranian است.,,
mix,culinary,noun,mix,مخلوط کردن,Leave the mix to rest for about ten minutes.,مخلوط را ترک کنید تا حدود ده دقیقه استراحت کنید.,,
mix,audio recording,noun,mix,مخلوط کردن,What makes a DJ mix memorable?,چه چیزی باعث می شود DJ MIX به یاد ماندنی باشد؟,,
mix,to combine,transitive verb,mix,مخلوط کردن,Mix the eggs with the butter and sugar until smooth.,تخم مرغ را با کره و شکر مخلوط کنید تا صاف.,,
mix,"to combine, cocktail",transitive verb,mix,مخلوط کردن,He mixed the cocktails himself at his party.,او کوکتل خود را در حزب خود مخلوط کرد.,,
mix,audio,transitive verb,mix,مخلوط کردن,This DJ mixes wildly different kinds of music.,این DJ انواع مختلفی از موسیقی را مخلوط می کند.,,
mix,to socialize,intransitive verb,mix,مخلوط کردن,This activity will help you to mix with different people.,این فعالیت به شما کمک خواهد کرد که با افراد مختلف مخلوط شوید.,,
snow,weather,noun,snow,برف,Class is canceled due to the snow.,کلاس به دلیل برف لغو می شود.,,
snow,interference on television screen,noun,snow,برف,How can I get rid of this snow on the screen?,چگونه می توانم از این برف بر روی صفحه نمایش خلاص شوم؟,,
snow,cocaine,noun,snow,برف,I know a guy who will sell us some snow.,من می دانم یک مرد که ما را به فروش برخی از برف.,,
implement,to carry out,transitive verb,implement,پیاده سازی,Airport security implemented a new baggage screening system.,امنیت فرودگاه یک سیستم غربالگری قفسه جدید را اجرا کرد.,,
implement,utensil,noun,implement,پیاده سازی,The museum has a collection of medieval torture implements.,موزه مجموعه ای از شکنجه های قرون وسطایی را دارد.,,
proper,accurate,adjective,proper,مناسب,What's the proper way to change a tire?,راه مناسب برای تغییر تایر چیست؟,,
proper,appropriate or seemly,adjective,proper,مناسب,It's not proper to be discussing our next vacation during mass.,مناسب نیست که در طول جرم در مورد تعطیلات بعدی ما بحث شود.,,
